
 order 操作时间：2017-05-18 09:50:36 操作人：849 操作人名称: 订单ID： 当前开关：1

 order 操作时间：2017-05-18 09:53:33 操作人：107 操作人名称:台州导医 订单ID：428501 当前开关：1

 order 操作时间：2017-05-18 09:53:44 操作人：71 操作人名称:财务统计 订单ID：412263 当前开关：0

 order 操作时间：2017-05-18 10:05:05 操作人：107 操作人名称:台州导医 订单ID：428507 当前开关：1

 order 操作时间：2017-05-18 10:06:27 操作人：107 操作人名称:台州导医 订单ID：428461 当前开关：1

 order 操作时间：2017-05-18 10:19:59 操作人：107 操作人名称:台州导医 订单ID：376081 当前开关：1

 order 操作时间：2017-05-18 10:21:55 操作人：107 操作人名称:台州导医 订单ID：422821 当前开关：1

 order 操作时间：2017-05-18 10:53:00 操作人：107 操作人名称:台州导医 订单ID：426345 当前开关：1

 order 操作时间：2017-05-18 10:54:03 操作人：107 操作人名称:台州导医 订单ID：424581 当前开关：1

 order 操作时间：2017-05-18 11:22:07 操作人：107 操作人名称:台州导医 订单ID：428316 当前开关：1

 order 操作时间：2017-05-18 11:58:55 操作人：145 操作人名称:仁爱导医3 订单ID：428394 当前开关：1

 order 操作时间：2017-05-18 12:02:48 操作人：107 操作人名称:台州导医 订单ID：428569 当前开关：1

 order 操作时间：2017-05-18 12:04:57 操作人：145 操作人名称:仁爱导医3 订单ID：428533 当前开关：1

 order 操作时间：2017-05-18 12:11:14 操作人：145 操作人名称:仁爱导医3 订单ID：428246 当前开关：1

 order 操作时间：2017-05-18 12:19:27 操作人：145 操作人名称:仁爱导医3 订单ID：428301 当前开关：1

 order 操作时间：2017-05-18 12:35:37 操作人：145 操作人名称:仁爱导医3 订单ID：428493 当前开关：1

 order 操作时间：2017-05-18 12:39:26 操作人：107 操作人名称:台州导医 订单ID：428542 当前开关：1

 order 操作时间：2017-05-18 12:40:02 操作人：107 操作人名称:台州导医 订单ID：428441 当前开关：1

 order 操作时间：2017-05-18 12:57:09 操作人：145 操作人名称:仁爱导医3 订单ID：425656 当前开关：1

 order 操作时间：2017-05-18 13:22:16 操作人：145 操作人名称:仁爱导医3 订单ID：427294 当前开关：1

 order 操作时间：2017-05-18 13:40:23 操作人：107 操作人名称:台州导医 订单ID：428603 当前开关：1

 order 操作时间：2017-05-18 14:02:09 操作人：145 操作人名称:仁爱导医3 订单ID：428438 当前开关：1

 order 操作时间：2017-05-18 14:10:57 操作人：107 操作人名称:台州导医 订单ID：428565 当前开关：1

 order 操作时间：2017-05-18 14:34:04 操作人：107 操作人名称:台州导医 订单ID：428592 当前开关：1

 order 操作时间：2017-05-18 14:39:05 操作人：145 操作人名称:仁爱导医3 订单ID：428117 当前开关：1

 order 操作时间：2017-05-18 14:57:55 操作人：145 操作人名称:仁爱导医3 订单ID：428590 当前开关：1

 order 操作时间：2017-05-18 15:02:53 操作人：107 操作人名称:台州导医 订单ID：428591 当前开关：1

 order 操作时间：2017-05-18 15:29:06 操作人：134 操作人名称:仁爱导医22 订单ID：404104 当前开关：1

 order 操作时间：2017-05-18 15:50:09 操作人：145 操作人名称:仁爱导医3 订单ID：428613 当前开关：1

 order 操作时间：2017-05-18 16:07:59 操作人：107 操作人名称:台州导医 订单ID：428583 当前开关：1

 order 操作时间：2017-05-18 16:16:45 操作人：107 操作人名称:台州导医 订单ID：428626 当前开关：1

 order 操作时间：2017-05-18 16:27:33 操作人：107 操作人名称:台州导医 订单ID：428638 当前开关：1

 order 操作时间：2017-05-18 16:32:21 操作人：145 操作人名称:仁爱导医3 订单ID：428641 当前开关：1

 order 操作时间：2017-05-18 16:44:32 操作人：107 操作人名称:台州导医 订单ID：428574 当前开关：1

 order 操作时间：2017-05-18 17:04:57 操作人：145 操作人名称:仁爱导医3 订单ID：428467 当前开关：1

 order 操作时间：2017-05-18 17:07:18 操作人：145 操作人名称:仁爱导医3 订单ID：428602 当前开关：1

 order 操作时间：2017-05-18 18:58:27 操作人：107 操作人名称:台州导医 订单ID：428550 当前开关：1
