
 order 操作时间：2017-06-19 08:25:10 操作人：134 操作人名称:仁爱导医22 订单ID：421629 当前开关：1

 order 操作时间：2017-06-19 08:31:17 操作人：107 操作人名称:台州导医 订单ID：440427 当前开关：1

 order 操作时间：2017-06-19 08:41:32 操作人：107 操作人名称:台州导医 订单ID：440725 当前开关：1

 order 操作时间：2017-06-19 08:54:02 操作人：107 操作人名称:台州导医 订单ID：437330 当前开关：1

 order 操作时间：2017-06-19 09:51:01 操作人：107 操作人名称:台州导医 订单ID：440666 当前开关：1

 order 操作时间：2017-06-19 09:54:22 操作人：107 操作人名称:台州导医 订单ID：440422 当前开关：1

 order 操作时间：2017-06-19 10:05:00 操作人：107 操作人名称:台州导医 订单ID：440385 当前开关：1

 order 操作时间：2017-06-19 10:13:36 操作人：71 操作人名称:财务统计 订单ID：422030 当前开关：0

 order 操作时间：2017-06-19 10:24:14 操作人：1276 操作人名称:导医 订单ID：440778 当前开关：1

 order 操作时间：2017-06-19 10:43:28 操作人：107 操作人名称:台州导医 订单ID：429242 当前开关：1

 order 操作时间：2017-06-19 10:45:04 操作人：71 操作人名称:财务统计 订单ID：428841 当前开关：0

 order 操作时间：2017-06-19 11:04:36 操作人：107 操作人名称:台州导医 订单ID：429243 当前开关：1

 order 操作时间：2017-06-19 11:19:43 操作人：107 操作人名称:台州导医 订单ID：440802 当前开关：1

 order 操作时间：2017-06-19 11:22:26 操作人：107 操作人名称:台州导医 订单ID：440407 当前开关：1

 order 操作时间：2017-06-19 11:36:18 操作人：107 操作人名称:台州导医 订单ID：440454 当前开关：1

 order 操作时间：2017-06-19 11:42:33 操作人：71 操作人名称:财务统计 订单ID：422355 当前开关：0

 order 操作时间：2017-06-19 11:43:46 操作人：71 操作人名称:财务统计 订单ID：426604 当前开关：0

 order 操作时间：2017-06-19 12:19:14 操作人：107 操作人名称:台州导医 订单ID：440692 当前开关：1

 order 操作时间：2017-06-19 12:34:54 操作人：145 操作人名称:仁爱导医3 订单ID：440825 当前开关：1

 order 操作时间：2017-06-19 13:11:51 操作人：145 操作人名称:仁爱导医3 订单ID：440634 当前开关：1

 order 操作时间：2017-06-19 13:14:13 操作人：145 操作人名称:仁爱导医3 订单ID：438406 当前开关：1

 order 操作时间：2017-06-19 13:31:45 操作人：145 操作人名称:仁爱导医3 订单ID：438773 当前开关：1

 order 操作时间：2017-06-19 13:56:37 操作人：107 操作人名称:台州导医 订单ID：440841 当前开关：1

 order 操作时间：2017-06-19 14:20:11 操作人：107 操作人名称:台州导医 订单ID：439666 当前开关：1

 order 操作时间：2017-06-19 14:23:51 操作人：107 操作人名称:台州导医 订单ID：440870 当前开关：1

 order 操作时间：2017-06-19 14:41:27 操作人：107 操作人名称:台州导医 订单ID：435456 当前开关：1

 order 操作时间：2017-06-19 14:58:06 操作人：107 操作人名称:台州导医 订单ID：440779 当前开关：1

 order 操作时间：2017-06-19 15:16:00 操作人：107 操作人名称:台州导医 订单ID：425336 当前开关：0

 order 操作时间：2017-06-19 15:16:23 操作人：107 操作人名称:台州导医 订单ID：352965 当前开关：1

 order 操作时间：2017-06-19 16:13:31 操作人：107 操作人名称:台州导医 订单ID：440843 当前开关：1

 order 操作时间：2017-06-19 16:19:29 操作人：107 操作人名称:台州导医 订单ID：440915 当前开关：1

 order 操作时间：2017-06-19 16:33:20 操作人：107 操作人名称:台州导医 订单ID：440920 当前开关：1

 order 操作时间：2017-06-19 17:22:50 操作人：107 操作人名称:台州导医 订单ID：440932 当前开关：1

 order 操作时间：2017-06-19 18:31:06 操作人：107 操作人名称:台州导医 订单ID：433751 当前开关：1

 order 操作时间：2017-06-19 18:44:01 操作人：107 操作人名称:台州导医 订单ID：439367 当前开关：1

 order 操作时间：2017-06-19 18:44:30 操作人：107 操作人名称:台州导医 订单ID：441015 当前开关：1

 order 操作时间：2017-06-19 18:59:34 操作人：107 操作人名称:台州导医 订单ID：440993 当前开关：1

 order 操作时间：2017-06-19 18:59:38 操作人：107 操作人名称:台州导医 订单ID：440253 当前开关：1

 order 操作时间：2017-06-19 19:33:45 操作人：107 操作人名称:台州导医 订单ID：440923 当前开关：1

 order 操作时间：2017-06-19 19:45:06 操作人：107 操作人名称:台州导医 订单ID：440972 当前开关：1
