
 order 操作时间：2017-07-13 07:41:34 操作人：6 操作人名称:夏伟成 订单ID：449268 当前开关：0

 order 操作时间：2017-07-13 07:46:41 操作人：107 操作人名称:台州导医 订单ID：449552 当前开关：1

 order 操作时间：2017-07-13 08:11:43 操作人：107 操作人名称:台州导医 订单ID：446915 当前开关：1

 order 操作时间：2017-07-13 08:22:43 操作人：107 操作人名称:台州导医 订单ID：449807 当前开关：1

 order 操作时间：2017-07-13 08:24:31 操作人：107 操作人名称:台州导医 订单ID：449113 当前开关：1

 order 操作时间：2017-07-13 08:41:49 操作人：134 操作人名称:仁爱导医22 订单ID：432122 当前开关：1

 order 操作时间：2017-07-13 08:41:49 操作人：134 操作人名称:仁爱导医22 订单ID：432122 当前开关：1

 order 操作时间：2017-07-13 08:55:26 操作人：107 操作人名称:台州导医 订单ID：449678 当前开关：1

 order 操作时间：2017-07-13 09:11:17 操作人：107 操作人名称:台州导医 订单ID：449808 当前开关：1

 order 操作时间：2017-07-13 09:18:57 操作人：107 操作人名称:台州导医 订单ID：449838 当前开关：1

 order 操作时间：2017-07-13 09:23:17 操作人：107 操作人名称:台州导医 订单ID：449736 当前开关：1

 order 操作时间：2017-07-13 09:26:31 操作人：71 操作人名称:财务统计 订单ID：448624 当前开关：0

 order 操作时间：2017-07-13 09:33:46 操作人：134 操作人名称:仁爱导医22 订单ID：444460 当前开关：0

 order 操作时间：2017-07-13 09:33:46 操作人：134 操作人名称:仁爱导医22 订单ID：444460 当前开关：1

 order 操作时间：2017-07-13 09:33:46 操作人：134 操作人名称:仁爱导医22 订单ID：444460 当前开关：1

 order 操作时间：2017-07-13 09:33:48 操作人：134 操作人名称:仁爱导医22 订单ID：444460 当前开关：0

 order 操作时间：2017-07-13 09:33:51 操作人：134 操作人名称:仁爱导医22 订单ID：441988 当前开关：0

 order 操作时间：2017-07-13 09:33:51 操作人：134 操作人名称:仁爱导医22 订单ID：441988 当前开关：1

 order 操作时间：2017-07-13 09:41:27 操作人：71 操作人名称:财务统计 订单ID：439038 当前开关：0

 order 操作时间：2017-07-13 09:42:05 操作人：134 操作人名称:仁爱导医22 订单ID：446183 当前开关：0

 order 操作时间：2017-07-13 09:47:59 操作人：107 操作人名称:台州导医 订单ID：449654 当前开关：1

 order 操作时间：2017-07-13 10:02:57 操作人：134 操作人名称:仁爱导医22 订单ID：447354 当前开关：0

 order 操作时间：2017-07-13 10:02:57 操作人：134 操作人名称:仁爱导医22 订单ID：447354 当前开关：0

 order 操作时间：2017-07-13 10:08:00 操作人：107 操作人名称:台州导医 订单ID：449351 当前开关：1

 order 操作时间：2017-07-13 10:10:57 操作人：134 操作人名称:仁爱导医22 订单ID：427733 当前开关：0

 order 操作时间：2017-07-13 10:21:10 操作人：107 操作人名称:台州导医 订单ID：442848 当前开关：1

 order 操作时间：2017-07-13 10:24:55 操作人：134 操作人名称:仁爱导医22 订单ID：431254 当前开关：1

 order 操作时间：2017-07-13 10:34:55 操作人：71 操作人名称:财务统计 订单ID：438848 当前开关：0

 order 操作时间：2017-07-13 10:34:58 操作人：71 操作人名称:财务统计 订单ID：428579 当前开关：0

 order 操作时间：2017-07-13 10:35:52 操作人：71 操作人名称:财务统计 订单ID：433226 当前开关：0

 order 操作时间：2017-07-13 10:37:39 操作人：71 操作人名称:财务统计 订单ID：440483 当前开关：0

 order 操作时间：2017-07-13 10:44:26 操作人：107 操作人名称:台州导医 订单ID：449861 当前开关：1

 order 操作时间：2017-07-13 11:09:55 操作人：107 操作人名称:台州导医 订单ID：449909 当前开关：1

 order 操作时间：2017-07-13 11:57:50 操作人：107 操作人名称:台州导医 订单ID：449896 当前开关：1

